file_name,height,width,bbox,age,race,masked,skintone,emotion,gender
100013282.jpg,1333,2000,"[934.0000000000097, 144.82228672769534, 238.24562254582438, 330.0662796338281]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100016175.jpg,1333,2000,"[1094.0513571635438, 422.91772295627203, 55.45378576262131, 71.31039238064413]",20-30s,Caucasian,unmasked,light,Neutral,Male
10004189.jpg,2000,1333,"[419.93871061403877, 269.1250391680045, 377.1906900618241, 491.11567140388684]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100104575.jpg,1333,2000,"[1490.6909678848915, 676.0000000000097, 37.55392769189032, 70.33067590805737]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100104600.jpg,2000,1333,"[549.169724453414, 92.52040334013152, 306.8821357962342, 437.365818496933]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
100118748.jpg,1333,2000,"[1264.1869123868698, 118.99999999999974, 206.10019039523317, 296.9999999999995]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
10012376.jpg,2000,1333,"[640.2165901410499, 619.7806050101991, 359.99109070427556, 440.24387899796]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100127351.jpg,2000,1333,"[468.0460743801641, 174.78512396694236, 326.43264462809884, 417.7768595041325]",40-50s,Caucasian,unmasked,mid-light,Happiness,Female
10015832.jpg,1333,2000,"[1277.1383338280361, 140.98490082153265, 248.88823994370085, 351.58800677567496]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10019527.jpg,1333,2000,"[951.6516547652705, 192.0262631503894, 205.99999999999991, 258.9737368496105]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100217868.jpg,800,2000,"[1329.577459516453, 200.7328450789728, 271.1377231983618, 336.2548675681434]",20-30s,Caucasian,unmasked,light,Happiness,Male
100234133.jpg,2000,1333,"[496.2076808453345, 118.98660294628255, 251.79231915466372, 350.761356719701]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
10024034.jpg,2000,1333,"[626.0558653281198, 307.1950786337118, 279.78982718062855, 333.65684080831164]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100275687.jpg,2000,1310,"[310.4518570655136, 123.34644926141398, 227.54814293448564, 309.4117080924674]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100290547.jpg,1333,2000,"[662.5619775593102, 231.8748722102204, 438.4008191602411, 590.1452600277313]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
100332639.jpg,1333,2000,"[732.7758706883175, 265.8532441686489, 81.32250507256815, 127.0489186104503]",20-30s,Caucasian,unmasked,light,Neutral,Male
10035883.jpg,1333,2000,"[1356.3504607253765, 238.51019334953347, 247.71218008954435, 347.83530920728407]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100364120.jpg,1224,2000,"[363.43122307698496, 356.87506273328296, 42.610125961608375, 68.00976947976747]",40-50s,Caucasian,unmasked,light,Neutral,Male
100375438.jpg,1333,2000,"[925.3486311105098, 223.25173402772592, 137.89935108865694, 139.81524188598087]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
100436471.jpg,2000,1333,"[579.6403701929895, 740.6323173548967, 268.35962980701066, 384.9176572793918]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
100446006.jpg,1333,2000,"[627.2373047740174, 137.99999999999827, 258.8548821250272, 357.3680580937531]",20-30s,Caucasian,unmasked,light,Happiness,Female
100457349.jpg,1333,2000,"[733.9999999999989, 225.04838612914946, 220.03671808284068, 294.9661297095951]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
100497714.jpg,1333,2000,"[1101.4589333151303, 263.3405425969973, 127.78700608707503, 167.0743217537521]",40-50s,Caucasian,unmasked,light,Happiness,Female
100521368.jpg,1334,2000,"[1344.3266700987156, 438.33984852757794, 189.4796225275576, 267.47868218125524]",20-30s,Caucasian,unmasked,light,Happiness,Female
100537938.jpg,1142,2000,"[372.97491667441903, 73.9066668451136, 298.73686763748555, 367.48602290480864]",20-30s,Caucasian,unmasked,light,Happiness,Female
100542719.jpg,1333,2000,"[1024.5584101208972, 477.5756224871853, 150.1094833687037, 167.79243560656693]",Kid,Caucasian,unmasked,mid-dark,Neutral,Male
100616693.jpg,800,2000,"[1416.660620734406, 180.03384133489516, 126.43648327755812, 169.50681604926498]",20-30s,Caucasian,unmasked,light,Happiness,Female
100618366.jpg,800,2000,"[1371.244676613429, 119.60742416228234, 141.03076778687984, 187.6986313588117]",20-30s,Caucasian,unmasked,mid-light,Anger,Male
100620073.jpg,800,2000,"[1388.9999131545417, 110.32747838069076, 146.95845998293706, 228.61731537465664]",20-30s,Caucasian,unmasked,light,Surprise,Male
10062392.jpg,1855,2000,"[689.5437642830565, 249.3359871452353, 497.42909080011793, 630.7673935148257]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100689967.jpg,1125,2000,"[661.2273776209715, 6.000000000000466, 464.8742533490585, 669.6280520251555]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
100736316.jpg,1333,2000,"[1165.9303172284401, 304.28735407633536, 238.38526110221846, 274.38319927620046]",20-30s,Mongoloid,unmasked,mid-dark,Happiness,Male
10074864.jpg,1328,2000,"[809.3151940963501, 143.99999999999773, 212.44841033135927, 263.19736328069115]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10076105.jpg,1333,2000,"[1144.0246333427485, 282.5986207562574, 231.01522271571488, 323.1700179317616]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10079415.jpg,1332,2000,"[700.6990346706666, 417.0169043102911, 95.53397688621851, 114.04961611414404]",20-30s,Mongoloid,unmasked,light,Happiness,Female
100834752.jpg,1333,2000,"[818.7598063447293, 222.88005281250113, 293.24019365527306, 419.488005281251]",Senior,Mongoloid,unmasked,light,Happiness,Male
100867877.jpg,1293,2000,"[1227.735354718796, 249.23089620520614, 63.07833710411405, 96.4339135029619]",20-30s,Mongoloid,unmasked,light,Neutral,Female
100891652.jpg,1333,2000,"[441.8929255829107, 275.8501727110615, 287.88307540428946, 282.416954518437]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
10097784.jpg,2000,1333,"[580.0294931518696, 451.0290004019678, 175.4010948198779, 207.18823477463008]",20-30s,Mongoloid,unmasked,light,Neutral,Female
10097785.jpg,2000,1333,"[572.1187700935221, 317.6004778593697, 170.49131214942386, 237.46650738020952]",20-30s,Mongoloid,unmasked,light,Neutral,Female
10097786.jpg,2000,1333,"[560.0, 361.8136017831681, 191.00000000000003, 229.14808055797738]",20-30s,Mongoloid,unmasked,light,Neutral,Female
101013857.jpg,2000,1333,"[568.1197098348571, 998.3787280991002, 73.47102591530964, 96.60607768597136]",20-30s,Negroid,unmasked,mid-dark,Happiness,Female
101031644.jpg,1333,2000,"[700.5649327469341, 303.91194035223987, 294.96184978010206, 372.65145318365603]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10104198.jpg,1333,2000,"[591.0000000000007, 240.99999999999963, 245.75223622858047, 322.0000000000002]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101045841.jpg,2000,1333,"[630.9005374986808, 710.0341797718008, 100.0227563483888, 145.96582022819703]",20-30s,Caucasian,unmasked,light,Happiness,Female
101056763.jpg,1333,2000,"[915.0535372085442, 141.89884297520464, 625.0871524952253, 822.4241322313936]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
101093778.jpg,1333,2000,"[816.5324867298261, 46.999999999999964, 306.71699254182727, 474.3739165490827]",Senior,Caucasian,unmasked,light,Anger,Male
101103861.jpg,1333,2000,"[1043.7024038053314, 305.49506677763185, 240.28688318386244, 322.00000000000176]",20-30s,Caucasian,unmasked,light,Happiness,Female
101114983.jpg,1125,2000,"[746.9999999999948, 233.10986896769052, 696.154524475807, 853.1731613803113]",20-30s,Caucasian,unmasked,light,Happiness,Female
10112033.jpg,2000,1333,"[407.98539305301193, 370.9999999999997, 358.0068738574007, 461.9999999999955]",20-30s,Mongoloid,unmasked,light,Neutral,Female
101123852.jpg,1333,2000,"[1037.1376799945401, 290.3548695746365, 142.22203992465037, 185.64513042536228]",20-30s,Caucasian,unmasked,light,Neutral,Male
101124001.jpg,1333,2000,"[863.8154146528458, 268.99999999999994, 199.6123681038401, 280.13820102272723]",20-30s,Caucasian,unmasked,light,Happiness,Female
10114066.jpg,1333,2000,"[831.0022505626372, 230.99999999999912, 304.996499124777, 397.9999999999967]",20-30s,Mongoloid,masked,light,Neutral,Female
10115185.jpg,1333,2000,"[926.0208616177704, 383.06239999999826, 289.36743517239034, 338.72609274210913]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10115790.jpg,2000,1333,"[572.9999999999972, 262.9999999999992, 320.00687385740446, 405.99999999999784]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10116354.jpg,2000,1333,"[618.4479128593739, 323.6182978227273, 277.87216635938523, 392.3817021772736]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101178068.jpg,1333,2000,"[1140.698185368899, 169.93314995160716, 218.01934825762334, 289.27109196826535]",Senior,Caucasian,unmasked,mid-light,Happiness,Male
101224128.jpg,1333,2000,"[1141.2416415065168, 669.9999999999901, 267.9646651038069, 201.17407941825175]",20-30s,Caucasian,unmasked,light,Neutral,Male
10122946.jpg,2000,1333,"[381.15064891529784, 524.6199898537161, 249.87858643315136, 308.2677448000276]",20-30s,Mongoloid,unmasked,light,Neutral,Female
10123220.jpg,2000,1333,"[417.49450143392033, 499.6282809947932, 297.8310576604803, 378.75218732986605]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101237211.jpg,1333,2000,"[810.7673414192843, 196.24728027405237, 241.10135450196563, 286.7651527588564]",20-30s,Caucasian,unmasked,light,Neutral,Male
101262866.jpg,2000,1333,"[536.3038305206314, 310.236296968573, 243.4041331623532, 336.76370303142676]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101272927.jpg,1333,2000,"[546.8059714500464, 577.9060499858226, 179.48446735768567, 256.91560717323387]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
101346736.jpg,1330,2000,"[1053.759628297167, 473.92051383301157, 125.02181009053095, 155.07948616697774]",Kid,Mongoloid,unmasked,light,Fear,Male
10134924.jpg,1333,2000,"[845.782289759995, 579.2452018304757, 212.80178898286525, 289.65671743733327]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101373807.jpg,1250,2000,"[583.619538519927, 334.6513708747453, 122.10890698101696, 237.02220075926104]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101405065.jpg,1333,2000,"[1155.9999999999964, 139.99999999999898, 415.9992498124519, 571.8719512195098]",Senior,Mongoloid,unmasked,light,Happiness,Male
101405634.jpg,1333,2000,"[1190.7607702222306, 299.43660646409404, 223.48354593132902, 291.69029789063217]",40-50s,Mongoloid,unmasked,light,Neutral,Male
10142697.jpg,1333,2000,"[888.001750437607, 159.99999999999892, 290.99999999999903, 377.9999999999979]",20-30s,Mongoloid,unmasked,light,Happiness,Male
101431471.jpg,1333,2000,"[500.06519447440314, 175.75116559683522, 381.9022082883963, 444.2488344031644]",Kid,Mongoloid,unmasked,light,Happiness,Male
10143752.jpg,1901,2000,"[1155.9948523768905, 294.9999999999964, 358.00686349746417, 505.9999999999948]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10143789.jpg,2000,1333,"[769.9999999999886, 612.1077170013893, 484.1466742246795, 699.6017214733921]",Senior,Mongoloid,unmasked,light,Happiness,Male
10144874.jpg,1375,2000,"[952.208652913129, 154.894735054153, 218.173979823232, 304.53947435468814]",Senior,Mongoloid,unmasked,light,Happiness,Male
10147100.jpg,2000,1333,"[547.901603559303, 524.9646606190303, 144.09839644069663, 195.88172866648094]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10147101.jpg,2000,1333,"[550.7040371868964, 376.0217330318788, 151.76374641517353, 216.44566742030293]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10148253.jpg,1333,2000,"[994.9798645719662, 344.022671364625, 371.0201354280322, 450.9773286353762]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10148487.jpg,2000,1333,"[597.0429537253785, 246.99999999999997, 294.67260434951226, 389.063466204485]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101487603.jpg,1333,2000,"[1127.237304774015, 439.98445870886565, 245.11337579386094, 273.270592210754]",20-30s,Mongoloid,unmasked,mid-light,Anger,Female
101498738.jpg,2000,1310,"[378.5978437861118, 200.5960568109144, 142.4501028901946, 184.01709960876374]",40-50s,Negroid,unmasked,mid-dark,Happiness,Female
101501347.jpg,1335,2000,"[624.2942723274583, 383.2965727069565, 165.49711149475166, 186.73302140918574]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
10151153.jpg,1333,2000,"[902.1295183687481, 498.6054481391448, 326.115059588753, 444.274604673355]",20-30s,Mongoloid,unmasked,light,Happiness,Female
